iter	Passed	Remaining
402	12492	18506
403	12522	18473
404	12555	18445
405	12585	18413
406	12620	18388
407	12651	18357
408	12682	18325
409	12710	18291
410	12740	18258
411	12769	18225
412	12800	18193
413	12828	18157
414	12858	18125
415	12888	18093
416	12915	18057
417	12949	18029
418	12979	17997
419	13012	17969
420	13045	17941
421	13075	17908
422	13106	17878
423	13136	17845
424	13165	17812
425	13195	17780
426	13223	17745
427	13247	17704
428	13281	17677
429	13309	17643
430	13336	17606
431	13366	17574
432	13393	17538
433	13425	17508
434	13455	17476
435	13487	17447
436	13518	17416
437	13551	17387
438	13580	17354
439	13617	17331
440	13646	17297
441	13684	17276
442	13713	17242
443	13746	17213
444	13785	17193
445	13819	17166
446	13846	17129
447	13875	17096
448	13907	17066
449	13942	17040
450	13972	17008
451	14004	16978
452	14034	16946
453	14060	16910
454	14086	16872
455	14118	16843
456	14146	16808
457	14178	16779
458	14206	16744
459	14237	16713
460	14265	16678
461	14294	16646
462	14326	16616
463	14354	16582
464	14381	16546
465	14420	16525
466	14448	16490
467	14480	16460
468	14508	16426
469	14540	16396
470	14568	16363
471	14597	16329
472	14629	16300
473	14660	16268
474	14689	16235
475	14720	16204
476	14747	16169
477	14778	16138
478	14805	16103
479	14831	16066
480	14860	16034
481	14893	16005
482	14926	15977
483	14958	15947
484	14990	15917
485	15016	15881
486	15043	15846
487	15075	15816
488	15101	15781
489	15129	15747
490	15164	15719
491	15197	15691
492	15227	15660
493	15256	15627
494	15279	15588
495	15308	15555
496	15339	15525
497	15372	15495
498	15401	15463
499	15430	15430
500	15456	15395
501	15484	15361
502	15513	15328
503	15544	15298
504	15573	15265
505	15600	15230
506	15627	15196
507	15654	15161
508	15677	15123
509	15706	15090
510	15734	15056
511	15762	15023
512	15796	14996
513	15823	14961
514	15854	14930
515	15884	14899
516	15917	14870
517	15947	14839
518	15975	14805
519	16004	14773
520	16034	14741
521	16062	14708
522	16092	14677
523	16119	14643
524	16147	14609
525	16185	14585
526	16211	14550
527	16239	14517
528	16270	14486
529	16298	14453
530	16326	14420
531	16358	14390
532	16386	14357
533	16422	14330
534	16450	14298
535	16481	14267
536	16507	14232
537	16535	14199
538	16566	14168
539	16597	14138
540	16626	14106
541	16658	14076
542	16686	14043
543	16715	14011
544	16740	13976
545	16766	13941
546	16793	13907
547	16827	13879
548	16857	13848
549	16888	13818
550	16921	13788
551	16947	13754
552	16976	13722
553	17007	13691
554	17043	13665
555	17068	13630
556	17098	13599
557	17122	13563
558	17152	13531
559	17181	13500
560	17211	13468
561	17241	13436
562	17271	13406
563	17304	13377
564	17333	13345
565	17370	13319
566	17406	13292
567	17442	13266
568	17473	13235
569	17510	13209
570	17548	13184
571	17580	13154
572	17606	13120
573	17638	13090
574	17671	13061
575	17699	13028
576	17725	12994
577	17751	12960
578	17779	12927
579	17807	12894
580	17836	12862
581	17862	12829
582	17890	12796
583	17917	12763
584	17948	12732
585	17975	12699
586	18006	12669
587	18039	12639
588	18073	12611
589	18103	12580
590	18134	12549
591	18166	12520
592	18197	12489
593	18227	12458
594	18250	12422
595	18275	12387
596	18299	12352
597	18330	12322
598	18359	12290
599	18390	12260
600	18420	12229
601	18450	12197
602	18474	12163
603	18500	12129
604	18527	12096
605	18559	12066
606	18589	12035
607	18620	12005
608	18647	11972
609	18672	11938
610	18705	11908
611	18734	11877
612	18761	11844
613	18791	11813
614	18820	11782
615	18845	11748
616	18874	11716
617	18902	11684
618	18931	11652
619	18965	11623
620	18990	11590
621	19023	11560
622	19052	11529
623	19085	11500
624	19117	11470
625	19151	11442
626	19186	11413
627	19219	11384
628	19251	11354
629	19279	11322
630	19307	11290
631	19338	11260
632	19366	11228
633	19397	11197
634	19428	11167
635	19457	11135
636	19487	11105
637	19517	11073
638	19546	11042
639	19570	11008
640	19601	10978
641	19634	10948
642	19666	10918
643	19696	10887
644	19724	10855
645	19752	10823
646	19787	10795
647	19816	10764
648	19846	10733
649	19875	10702
650	19904	10670
651	19939	10642
652	19970	10612
653	20000	10581
654	20026	10548
655	20056	10517
656	20084	10485
657	20113	10454
658	20143	10423
659	20175	10393
660	20204	10362
661	20233	10330
662	20261	10299
663	20293	10269
664	20325	10239
665	20354	10207
666	20384	10176
667	20416	10147
668	20446	10116
669	20480	10087
670	20515	10059
671	20549	10030
672	20590	10004
673	20618	9972
674	20653	9944
675	20689	9916
676	20721	9886
677	20755	9857
678	20787	9827
679	20827	9801
680	20864	9773
681	20897	9744
682	20937	9717
683	20972	9689
684	21002	9658
685	21039	9630
686	21082	9605
687	21120	9577
688	21152	9547
689	21187	9519
690	21220	9489
691	21247	9457
692	21282	9428
693	21316	9398
694	21345	9367
695	21375	9336
696	21402	9304
697	21430	9272
698	21461	9241
699	21491	9210
700	21520	9179
701	21548	9147
702	21574	9114
703	21600	9082
704	21634	9052
705	21665	9022
706	21692	8989
707	21716	8956
708	21743	8924
709	21774	8893
710	21804	8862
711	21833	8831
712	21861	8799
713	21892	8769
714	21921	8738
715	21948	8705
716	21979	8675
717	22007	8643
718	22033	8611
719	22061	8579
720	22093	8549
721	22121	8517
722	22150	8486
723	22182	8456
724	22211	8425
725	22241	8394
726	22276	8365
727	22309	8335
728	22336	8303
729	22369	8273
730	22400	8243
731	22435	8214
732	22473	8186
733	22502	8154
734	22531	8123
735	22561	8092
736	22598	8064
737	22627	8033
