iter	Logloss
0	0.5920333314
1	0.5193247186
2	0.4574838536
3	0.4121857961
4	0.3777175671
5	0.3515511891
6	0.3321598145
7	0.3185050985
8	0.3072564843
9	0.2967970507
10	0.2888150914
11	0.2823800088
12	0.2768154694
13	0.2727376732
14	0.2688339
15	0.2661896176
16	0.2638880298
17	0.2616216039
18	0.26005152
19	0.2588695749
20	0.2579680586
21	0.2570945271
22	0.2561655125
23	0.2554778989
24	0.2547596293
25	0.2541637036
26	0.2538223856
27	0.253449849
28	0.2529635634
29	0.2526518837
30	0.2522059212
31	0.2518179961
32	0.2515608367
33	0.25124979
34	0.2509778758
35	0.2507992723
36	0.2506449767
37	0.2503887144
38	0.2502330235
39	0.2500969317
40	0.2499124381
41	0.2497151458
42	0.2495118773
43	0.2493278386
44	0.2492038056
45	0.2491037687
46	0.2490033606
47	0.2489006661
48	0.2487365436
49	0.2486208239
50	0.2485034919
51	0.2483942765
52	0.2482910674
53	0.2481276805
54	0.2480349712
55	0.2479581245
56	0.2478550835
57	0.2477406146
58	0.2476521114
59	0.2475793941
60	0.2475189804
61	0.2474371302
62	0.2473485572
63	0.2472539291
64	0.2471887547
65	0.2471336166
66	0.2470103925
67	0.2468842396
68	0.2468081368
69	0.246666833
70	0.246572924
71	0.2465222821
72	0.2464303107
73	0.2463639001
74	0.2463226027
75	0.2462823543
76	0.2461685189
77	0.2461086431
78	0.2460567825
79	0.2459619814
80	0.2458941494
81	0.2458608866
82	0.2457878498
83	0.2457253622
84	0.2456774384
85	0.2455762398
86	0.2454706473
87	0.2454195382
88	0.245326377
89	0.2452568322
90	0.2452035353
91	0.2451200882
92	0.2450479783
93	0.2449387585
94	0.2448509027
95	0.2447995096
96	0.2447532178
97	0.2446759839
98	0.2446364081
99	0.2445581451
100	0.244491511
101	0.2444424997
102	0.2444071808
103	0.2443543106
104	0.2443063221
105	0.2442595437
106	0.2442014934
107	0.2441282297
108	0.2440805272
109	0.2440344504
110	0.2439958147
111	0.243948526
112	0.2438890267
113	0.2438387047
114	0.2437789195
115	0.2437015016
116	0.2436683991
117	0.2436304048
118	0.2435821926
119	0.2435415737
120	0.243499277
121	0.2434613676
122	0.2434342484
123	0.24333826
124	0.2433186212
125	0.2432535073
126	0.2431971092
127	0.2431277927
128	0.2430980614
129	0.2430445357
130	0.2429611398
131	0.2429128742
132	0.242869928
133	0.2428108076
134	0.2427602258
135	0.2427220231
136	0.2426203796
137	0.242565369
138	0.2425079712
139	0.2424651631
140	0.2424202599
141	0.2423803342
142	0.2423289701
143	0.2423209518
144	0.2422554377
145	0.2422190709
146	0.2421679153
147	0.2420961316
148	0.242018414
149	0.2419756271
150	0.241937701
151	0.2418919329
152	0.2418526565
153	0.2417893921
154	0.2417507176
155	0.2416517402
156	0.2415948823
157	0.2415336138
158	0.2414332551
159	0.2413832247
160	0.2413333913
161	0.2412950256
162	0.2412903306
163	0.2412166388
164	0.2411791098
165	0.2411316543
166	0.241095469
167	0.2410607878
168	0.2410154894
169	0.2409738324
170	0.2409176737
171	0.2408583986
172	0.2408536547
173	0.2407753906
174	0.2407184754
175	0.2406565433
176	0.240619272
177	0.2405725333
178	0.2405242653
179	0.2404730046
180	0.2404377693
181	0.2403652557
182	0.2403169778
183	0.2402737157
184	0.2402391217
185	0.2402292826
186	0.2401856262
187	0.2401355701
188	0.2400715579
189	0.2400117457
190	0.2399663696
191	0.2399278412
192	0.2398637851
193	0.2398152515
194	0.2397431708
195	0.2396857855
196	0.2396232352
197	0.2395870618
198	0.2395323567
199	0.2394777731
200	0.2394287843
201	0.239371961
202	0.2393187423
203	0.2392562838
204	0.2391914267
205	0.239184177
206	0.2391304219
207	0.2390985534
208	0.2390353879
209	0.2390039847
210	0.2389427844
211	0.2388933824
212	0.238861674
213	0.2388026608
214	0.2387616266
215	0.2387204401
216	0.2387189813
217	0.2386932563
218	0.23863117
219	0.2385933184
220	0.2385537079
221	0.2385016791
222	0.2384510233
223	0.238414037
224	0.2383452815
225	0.2383058107
226	0.2382746101
227	0.2382236452
228	0.2381914365
229	0.238155002
230	0.2380977597
231	0.2380526516
232	0.2380127546
233	0.2379832374
234	0.237934929
235	0.2378834217
236	0.2378418099
237	0.2377907851
238	0.2377493721
239	0.2377156997
240	0.2376682441
241	0.237636335
242	0.2375983686
243	0.2375623917
244	0.2375081936
245	0.2374734022
246	0.2374372414
247	0.2373798532
248	0.2373406797
249	0.2372952891
250	0.237258171
251	0.2372217968
252	0.237211359
253	0.2371663479
254	0.2371243408
255	0.2371000814
256	0.2370627392
257	0.2370388136
258	0.2370085826
259	0.2369719297
260	0.2369233912
261	0.2368776694
262	0.2368482462
263	0.2368158438
264	0.2367605143
265	0.2367246371
266	0.2366945834
267	0.2366379567
268	0.2366019556
269	0.236567349
270	0.2365175277
271	0.2364751062
272	0.2364149355
273	0.2363768777
274	0.2363394215
275	0.2362776668
276	0.2362296927
277	0.2361762988
278	0.2361368196
279	0.2360931413
280	0.2360460927
281	0.236044903
282	0.2360031623
283	0.2359561067
284	0.2359291713
285	0.2358866431
286	0.2358484542
287	0.2357970284
288	0.2357686298
289	0.2357349213
290	0.2357062932
291	0.2356715725
292	0.2356438418
293	0.235604603
294	0.2355475385
295	0.2355261205
296	0.2354836724
297	0.2354359639
298	0.2354349075
299	0.2354035048
300	0.2353692154
301	0.2353139705
302	0.2352825775
303	0.2352451418
304	0.2352212324
305	0.2351647228
306	0.2351375601
307	0.2351062843
308	0.235080086
309	0.235046908
310	0.2350098548
311	0.2349720988
312	0.2349416001
313	0.2348986541
314	0.2348703032
315	0.2348368499
316	0.234801096
317	0.2347698386
318	0.2347119161
319	0.234690112
320	0.2346463154
321	0.2346164916
322	0.2345706971
323	0.2345236597
324	0.2344950801
325	0.2344512107
326	0.2344275731
327	0.2343814595
328	0.234328093
329	0.2343272303
330	0.2342792767
331	0.2342401961
332	0.2342030315
333	0.2341602473
334	0.2341191315
335	0.2340907901
336	0.2340456799
337	0.2340191073
338	0.2339725716
339	0.2339436342
340	0.2339269211
341	0.2338745707
342	0.2338315388
343	0.2337961749
344	0.2337723094
345	0.23373688
346	0.2337044294
347	0.2336790975
348	0.2336259011
349	0.2335821437
350	0.2335447688
351	0.2335151912
352	0.2334865863
353	0.2334412212
354	0.2334174853
355	0.2333859473
356	0.2333585736
357	0.2333226763
358	0.2332637139
359	0.2332109842
360	0.2331824966
361	0.233145514
362	0.2330750074
363	0.2330742156
